time_s,wind_W,hydro_W,vibration_W,piezo_W,solar_W,total_W,storage_V,soc,load_W
0.0,8.113513842633681,0.014721330524061757,0.0031190450554120937,0.0062380901108241875,0.0,6.916953462075381,1.1277408554370416,0.04204295659576431,0.005
60.0,2.2865343895626173,0.34354950947681484,0.030521356251241676,0.06104271250248335,0.0,2.3134007726241834,5.5,1.0,0.005
120.0,1.70802029630235,0.003470434797538323,0.020859733827280704,0.04171946765456141,0.0,1.507959442694471,5.5,1.0,0.005
180.0,0.0,0.5661808747507037,0.013144166754477863,0.026288333508955725,0.0,0.5147713687620167,5.5,1.0,0.005
240.0,9.432023520176003,0.3440720699464649,0.030848251549067743,0.061696503098135486,0.0,8.388344293054221,5.5,1.0,0.005
300.0,18.690086550401055,0.14321607708066103,0.011254865788912714,0.022509731577825428,0.0,16.03700714112119,5.5,1.0,0.005
360.0,0.0,0.4586033305213165,0.0181510294753666,0.0363020589507332,0.0,0.4360979561053039,5.5,1.0,0.005
420.0,3.979133291718067,0.44992826191668117,0.03377822615356833,0.06755645230713667,0.0,3.8508367972811355,5.5,1.0,0.005
480.0,16.412927650666223,0.26689025188581966,0.00900016616344646,0.01800033232689292,0.0,14.200795640886023,5.5,1.0,0.005
540.0,0.0,0.310874496668674,0.002902868911522162,0.005805737823044324,0.0,0.2716456378927544,5.5,1.0,0.005
600.0,16.722094721917,0.41554474925280377,0.014692017624183946,0.02938403524836789,0.0,14.604458195435999,5.5,1.0,0.005
660.0,0.0,0.03559197075361787,0.010648240833465784,0.021296481666931568,0.0,0.057406189265912934,5.5,1.0,0.005
720.0,0.0,0.18769133613007283,0.028290720830858256,0.05658144166171651,0.0,0.23167897382925046,5.5,1.0,0.005
780.0,5.528783984011622,0.059442974647059076,0.011672334897183147,0.023344669794366293,0.0,4.7797573688476955,5.5,1.0,0.005
840.0,12.276106739304812,0.3470932025628336,0.006368061799725324,0.012736123599450647,0.0,10.745958508176797,5.5,1.0,0.005
900.0,7.855785489406292,0.11824331385669773,0.004502725579814626,0.009005451159629252,0.0,6.7894064330020685,5.5,1.0,0.005
960.0,5.613763679585277,0.2145408362404412,0.008119771504915267,0.016239543009830534,0.0,4.974764255789394,5.5,1.0,0.005
1020.0,1.761715654432203,0.5794461520315675,0.01115030104877532,0.02230060209755064,0.0,2.0184208031685817,5.5,1.0,0.005
1080.0,0.7121891786464157,0.36874653097097526,0.02516517555275482,0.05033035110550964,0.0,0.9829665508343072,5.5,1.0,0.005
1140.0,13.050284361239283,0.24437765570699713,0.015685854231316822,0.031371708462633645,0.0,11.340461642694196,5.5,1.0,0.005
1200.0,5.372764651181436,0.5583468806673786,0.005128811315505854,0.010257622631011707,0.0,5.0545232709260315,5.5,1.0,0.005
1260.0,3.4642820288221943,0.3691702070647456,0.011720538469473617,0.023441076938947234,0.0,3.2883217736010564,5.5,1.0,0.005
1320.0,30.132034724202416,0.04983290330892687,0.007749224981338347,0.015498449962676695,0.0,25.674348007087058,5.5,1.0,0.005
1380.0,1.7594842067925374,0.11242446051474722,0.028329841393590925,0.05665968278718185,0.0,1.6633634627648488,5.5,1.0,0.005
1440.0,0.0,0.5184666901468477,0.0007682528708895104,0.0015365057417790209,0.0,0.44265573144558873,5.5,1.0,0.005
1500.0,2.291267908870326,0.5368647800356524,0.004486524655307655,0.00897304931061531,0.0,2.415353423441116,5.5,1.0,0.005
1560.0,1.4163691798546738,0.20675708671231585,0.003591000932622758,0.007182001865245516,0.0,1.3888143789601293,5.5,1.0,0.005
1620.0,0.0,0.5158431616104435,0.027652426525190513,0.05530485305038103,0.0,0.5089803750081128,5.5,1.0,0.005
1680.0,0.8183578772314987,0.3456308572828928,0.017037531820772892,0.034075063641545784,0.0,1.0328361304802036,5.5,1.0,0.005
1740.0,0.710330569851517,0.05463359764046896,0.011161957602666066,0.022323915205332133,0.0,0.6786825342549865,5.5,1.0,0.005
1800.0,27.23579901417389,0.18735370015265151,0.005745375921265797,0.011490751842531594,0.0,23.324330515776786,5.5,1.0,0.005
1860.0,0.0,0.10250269414537432,0.019221782906121292,0.038443565812242585,0.0,0.13614283643417746,5.5,1.0,0.005
1920.0,0.0,0.3346869455101446,0.031165670967023187,0.06233134193404637,0.0,0.363956364649532,5.5,1.0,0.005
1980.0,2.119969307401127,0.02285351197696691,0.006863495659076843,0.013726991318153687,0.0,1.8389013104020258,5.5,1.0,0.005
2040.0,6.752560084410623,0.08585949319243037,0.02323086650995136,0.04646173301990272,0.0,5.871895350562971,5.5,1.0,0.005
2100.0,0.0,0.07438041657489272,0.019997716692925528,0.039995433385851056,0.0,0.11421753165561889,5.5,1.0,0.005
2160.0,0.0,0.4242449077550437,0.0025589101584603197,0.005117820316920639,0.0,0.36713339249586097,5.5,1.0,0.005
2220.0,5.402728399737925,0.563652643043046,0.0008130189275574704,0.0016260378551149408,0.0,5.073497084629096,5.5,1.0,0.005
2280.0,7.971995980758143,0.04920182942321095,0.007435219363882061,0.014870438727764121,0.0,6.83697794803205,5.5,1.0,0.005
2340.0,26.879965873225284,0.20515851928277304,0.0045869937717439475,0.009173987543487895,0.0,23.034052567749796,5.5,1.0,0.005
2400.0,6.58051948459123,0.43196310457906645,0.010532358647963116,0.02106471729592623,0.0,5.987467715347059,5.5,1.0,0.005
2460.0,3.717769461186769,0.39300801954099335,0.018253054542072582,0.036506109084145165,0.0,3.540706147700883,5.5,1.0,0.005
2520.0,10.543298719261637,0.29632796395001554,0.028553229398907077,0.057106458797814154,0.0,9.286493415697118,5.5,1.0,0.005
2580.0,22.430186735334445,0.5287711008857681,0.014779014043953527,0.029558028087907053,0.0,19.552800646599263,5.5,1.0,0.005
2640.0,6.86794209030561,0.08937747201803811,0.02279137882811709,0.04558275765623418,0.0,5.971839643986799,5.5,1.0,0.005
2700.0,20.500343182807754,0.07748813395612365,0.025552780712911397,0.051105561425822794,0.0,17.556316210067216,5.5,1.0,0.005
